# Better O' Plenty block and item ids. Append-only: a saved chunk stores the
# number, not the name, so moving one replaces that block in every world that
# has it. BOPIdManifest refuses to start when one moves.
# kind	namespaced name	id
block	betteroplenty:block/acacia_leaves	1504
block	betteroplenty:block/acacia_log	1503
block	betteroplenty:block/acacia_sapling	1505
block	betteroplenty:block/amethyst_block	1406
block	betteroplenty:block/amethyst_ore	1405
block	betteroplenty:block/amethyst_ore_basalt	2010
block	betteroplenty:block/amethyst_ore_granite	2011
block	betteroplenty:block/amethyst_ore_limestone	2012
block	betteroplenty:block/amethyst_ore_permafrost	2013
block	betteroplenty:block/anemone	1709
block	betteroplenty:block/apple_leaves	1975
block	betteroplenty:block/apple_sapling	1976
block	betteroplenty:block/ash	1990
block	betteroplenty:block/ash_stone	1991
block	betteroplenty:block/bamboo	2006
block	betteroplenty:block/bamboo_leaves	2007
block	betteroplenty:block/bamboo_sapling	2008
block	betteroplenty:block/barley	1765
block	betteroplenty:block/berry_bush	1755
block	betteroplenty:block/big_flower_red	1962
block	betteroplenty:block/big_flower_stem	1961
block	betteroplenty:block/big_flower_yellow	1963
block	betteroplenty:block/blue_milk_cap	1726
block	betteroplenty:block/bluebells	1721
block	betteroplenty:block/bromeliad	1712
block	betteroplenty:block/burning_blossom	1718
block	betteroplenty:block/bush	1752
block	betteroplenty:block/cattail	1766
block	betteroplenty:block/cattail_bottom	1769
block	betteroplenty:block/cattail_top	1768
block	betteroplenty:block/clover	1700
block	betteroplenty:block/clover_patch	1759
block	betteroplenty:block/coral_blue	1836
block	betteroplenty:block/coral_glow	1837
block	betteroplenty:block/coral_orange	1835
block	betteroplenty:block/coral_pink	1834
block	betteroplenty:block/cosmos	1705
block	betteroplenty:block/crag_rock	1921
block	betteroplenty:block/daffodil	1706
block	betteroplenty:block/damp_grass	1757
block	betteroplenty:block/dandelion	1715
block	betteroplenty:block/dark_leaves	1507
block	betteroplenty:block/dark_log	1506
block	betteroplenty:block/dark_sapling	1508
block	betteroplenty:block/dead_grass	1760
block	betteroplenty:block/dead_leaves	1510
block	betteroplenty:block/dead_log	1509
block	betteroplenty:block/dead_sapling	1511
block	betteroplenty:block/deathbloom	1702
block	betteroplenty:block/desert_grass	1761
block	betteroplenty:block/desert_sprouts	1762
block	betteroplenty:block/dried_dirt	1992
block	betteroplenty:block/dune_grass	1763
block	betteroplenty:block/fir_leaves	1513
block	betteroplenty:block/fir_log	1512
block	betteroplenty:block/fir_sapling	1514
block	betteroplenty:block/flat_mushroom	1728
block	betteroplenty:block/fluid_liquid_poison_flowing	1601
block	betteroplenty:block/fluid_liquid_poison_still	1600
block	betteroplenty:block/fluid_spring_water_flowing	1603
block	betteroplenty:block/fluid_spring_water_still	1602
block	betteroplenty:block/glow_flower	1703
block	betteroplenty:block/glowshroom	1727
block	betteroplenty:block/goldenrod	1720
block	betteroplenty:block/hard_dirt	1974
block	betteroplenty:block/hard_ice	1920
block	betteroplenty:block/hard_sand	1973
block	betteroplenty:block/hardened_clay	1980
block	betteroplenty:block/hellbark_leaves	1516
block	betteroplenty:block/hellbark_log	1515
block	betteroplenty:block/hellbark_sapling	1517
block	betteroplenty:block/hibiscus	1716
block	betteroplenty:block/high_grass	1750
block	betteroplenty:block/high_grass_top	1751
block	betteroplenty:block/holy_leaves	1519
block	betteroplenty:block/holy_log	1518
block	betteroplenty:block/holy_sapling	1520
block	betteroplenty:block/hydrangea	1704
block	betteroplenty:block/icy_iris	1723
block	betteroplenty:block/ivy	1941
block	betteroplenty:block/jacaranda_leaves	1501
block	betteroplenty:block/jacaranda_log	1500
block	betteroplenty:block/jacaranda_sapling	1502
block	betteroplenty:block/kelp	1833
block	betteroplenty:block/kelp_bottom	1830
block	betteroplenty:block/kelp_middle	1831
block	betteroplenty:block/kelp_top	1832
block	betteroplenty:block/koru	1758
block	betteroplenty:block/lavender	1403
block	betteroplenty:block/lily_flower	1710
block	betteroplenty:block/lily_of_the_valley	1717
block	betteroplenty:block/long_grass	1960
block	betteroplenty:block/magic_leaves	1522
block	betteroplenty:block/magic_log	1521
block	betteroplenty:block/magic_sapling	1523
block	betteroplenty:block/malachite_block	1909
block	betteroplenty:block/malachite_ore	1908
block	betteroplenty:block/malachite_ore_basalt	2030
block	betteroplenty:block/malachite_ore_granite	2031
block	betteroplenty:block/malachite_ore_limestone	2032
block	betteroplenty:block/malachite_ore_permafrost	2033
block	betteroplenty:block/mangrove_leaves	1525
block	betteroplenty:block/mangrove_log	1524
block	betteroplenty:block/mangrove_sapling	1526
block	betteroplenty:block/maple_leaves	1534
block	betteroplenty:block/maple_sapling	1535
block	betteroplenty:block/medium_grass	1777
block	betteroplenty:block/miners_delight	1722
block	betteroplenty:block/moss	1774
block	betteroplenty:block/mycelium	2005
block	betteroplenty:block/orangeautumn_leaves	1537
block	betteroplenty:block/orangeautumn_sapling	1538
block	betteroplenty:block/peridot_block	1903
block	betteroplenty:block/peridot_ore	1902
block	betteroplenty:block/peridot_ore_basalt	2018
block	betteroplenty:block/peridot_ore_granite	2019
block	betteroplenty:block/peridot_ore_limestone	2020
block	betteroplenty:block/peridot_ore_permafrost	2021
block	betteroplenty:block/persimmon_leaves	1931
block	betteroplenty:block/persimmon_sapling	1932
block	betteroplenty:block/poison_ivy	1754
block	betteroplenty:block/portobello	1725
block	betteroplenty:block/rainbow_flower	1711
block	betteroplenty:block/red_brick	1972
block	betteroplenty:block/red_cobble	1971
